	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
10	2	2	2	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	ZB	ZB	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	0	ZT	ZT	0	P	P	P	P	P
11	2	2	2	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	ZB	ZB	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	0	ZT	ZT	0	P	P	P	P	P
12	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	ZT	ZT	0	P	P	P	P	P	P	P	P	P	P	0	ZT	ZT	0	P	P	P	P	P	R	R	R	R	R	R	P	P	P	P
13	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	ZT	ZT	0	0	0	0	0	0	0	0	0	0	0	0	ZT	ZT	0	0	0	0	0	0	R	R	R	R	R	R	0	0	0	0
14	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	I2	I2	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I1	I1	ZR	ZR	-1	-1	ZL	ZL	R	R	R	R	R	R	ZR	ZR	-1	-1
15	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	I2	I2	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I1	I1	ZR	ZR	-1	-1	ZL	ZL	R	R	R	R	R	R	ZR	ZR	-1	-1
16	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	ZB	ZB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	R	R	R	R	R	R	0	0	0	0
17	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	ZB	ZB	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	R	R	R	R	R	R	P	P	P	P
18	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	ZB	ZB	0	P	2	2	2	2
19	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	ZB	ZB	0	P	2	2	2	2
20	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
21	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
22	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
23	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
24	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
25	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
26	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
27	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
28	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
29	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
30	2	2	2	0	ZT	ZT	0	2	2	2	2	2	2	2	2	2	2	0	ZT	ZT	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	0	ZT	ZT	0	P	2	2	2	2
31	0	0	0	0	ZT	ZT	0	0	0	0	0	0	0	0	0	0	0	0	ZT	ZT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ZT	ZT	0	0	0	0	0	0
32	-1	-1	ZL	ZL	I5	I5	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I5	I5	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I5	I5	ZR	ZR	-1	-1	-1	-1
33	-1	-1	ZL	ZL	I5	I5	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I5	I5	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I5	I5	ZR	ZR	-1	-1	-1	-1
34	0	0	0	0	ZB	ZB	0	0	0	0	0	0	0	0	0	0	0	0	ZB	ZB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ZB	ZB	0	0	0	0	0	0
35	P	P	P	0	ZB	ZB	0	P	P	P	P	P	P	P	P	P	P	0	ZB	ZB	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	ZB	ZB	0	P	2	2	2	2
36	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
37	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
38	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
39	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
40	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
41	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	1	1	0	P	2	2	2	2
42	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	ZT	ZT	0	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	0	ZT	ZT	0	P	2	2	2	2
43	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	ZT	ZT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ZT	ZT	0	P	2	2	2	2
44	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	I2	I2	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I4	I4	0	P	2	2	2	2
45	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	I2	I2	ZR	ZR	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ZL	ZL	I4	I4	0	P	2	2	2	2
46	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	ZB	ZB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ZB	ZB	0	P	2	2	2	2
47	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	ZB	ZB	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	ZB	ZB	0	P	2	2	2	2
48	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	0	P	2	2	2	2
49	P	P	P	0	1	1	0	P	P	P	P	P	P	P	P	P	P	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	0	P	2	2	2	2
